Total analyzer execution time: 3.257 seconds. (TaskId:41)
  NOTE: Elapsed time may be less than analyzer execution time because analyzers can run concurrently. (TaskId:41)
  Time (s)    %   Analyzer (TaskId:41)
  3.257  100   BugHunter, Version=1.0.6239.34541, Culture=neutral, PublicKeyToken=null (TaskId:41)
  1.682   51      BugHunter.CsRules.Analyzers.SystemIOAnalyzer (TaskId:41)
  0.256    7      BugHunter.StringMethodsRules.Analyzers.StringCompareToMethodAnalyzer (TaskId:41)
  0.215    6      BugHunter.CsRules.Analyzers.LuceneSearchDocumentAnalyzer (TaskId:41)
  0.152    4      BugHunter.CsRules.Analyzers.EventLogArgumentsAnalyzer (TaskId:41)
  0.138    4      BugHunter.StringMethodsRules.Analyzers.StringIndexOfMethodsAnalyzer (TaskId:41)
  0.129    3      BugHunter.CsRules.Analyzers.WhereLikeMethodAnalyzer (TaskId:41)
  0.123    3      BugHunter.StringMethodsRules.Analyzers.StringManipulationMethodsAnalyzer (TaskId:41)
  0.122    3      BugHunter.StringMethodsRules.Analyzers.StringEqualsMethodAnalyzer (TaskId:41)
  0.120    3      BugHunter.StringMethodsRules.Analyzers.StringCompareStaticMethodAnalyzer (TaskId:41)
  0.108    3      BugHunter.StringMethodsRules.Analyzers.StringStartAndEndsWithMethodsAnalyzer (TaskId:41)
  0.098    3      BugHunter.WpRules.Analyzers.ValidationHelperGetAnalyzer (TaskId:41)
  0.016   <1      BugHunter.CsRules.Analyzers.HttpRequestUserHostAddressAnalyzer (TaskId:41)
  0.013   <1      BugHunter.CsRules.Analyzers.HttpRequestCookiesAnalyzer (TaskId:41)
  0.012   <1      BugHunter.CsRules.Analyzers.HttpRequestUrlAnalyzer (TaskId:41)
  0.011   <1      BugHunter.CsRules.Analyzers.HttpRequestQueryStringAnalyzer (TaskId:41)
  0.010   <1      BugHunter.CsRules.Analyzers.HttpSessionSessionIdAnalyzer (TaskId:41)
  0.010   <1      BugHunter.CsRules.Analyzers.HttpResponseCookiesAnalyzer (TaskId:41)
  0.010   <1      BugHunter.CsRules.Analyzers.HttpResponseRedirectAnalyzer (TaskId:41)
  0.009   <1      BugHunter.CsRules.Analyzers.HttpRequestBrowserAnalyzer (TaskId:41)
  0.006   <1      BugHunter.CsRules.Analyzers.FormsAuthenticationSignOut (TaskId:41)
  0.006   <1      BugHunter.CsRules.Analyzers.PageIsPostBackAnalyzer (TaskId:41)
  0.005   <1      BugHunter.CsRules.Analyzers.PageIsCallbackAnalyzer (TaskId:41)
  0.005   <1      BugHunter.CsRules.Analyzers.ClientScriptMethodsAnalyzer (TaskId:41)
  <0.001   <1      BugHunter.CsRules.Analyzers.HttpSessionElementAccessAnalyzer (TaskId:41)
  Output Item(s): CscCommandLineArgs= (TaskId:41)
Done executing task "Csc". (TaskId:41)
