BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.SystemIOAnalyzer;2,51;3,056;2,431;2,111;3,031;4,028;2,597;2,949;2,743;2,341;2,876;3,126;3,284;2,503;2,467;3,047;2,817;2,829;2,774;3,023;3,503;2,619;4,138;2,955;3,442;2,287;3,055;2,784;2,406;2,476;3,456;2,762;2,094;2,566;3,123;2,636;4,249;3,714;2,613;2,75;2,316;3,558;2,646;3,511;2,586;2,807;3,179;2,719;3,26;2,224;2,602;3,721;2,485;3,312;2,714;2,449;2,519;2,879;2,639;2,495;2,984;2,91;3,377;3,365;3,553;2,941;2,007;2,74;2,583;2,054;3,316;2,55;2,542;2,872;3,976;2,474;3,83;2,4;3,089;2,408;3,487;2,504;2,776;2,337;2,477;2,275;3,758;3,115;2,993;2,456;3,926;3,359;2,887;2,445;3,055;2,988;2,976;2,471;3,872;2,705
BugHunter.Web.Analyzers.CmsApiGuidelinesRules.Analyzers.ConnectionHelperExecuteQueryAnalyzer;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpSessionElementAccessAnalyzer;0,885;1,1;0,933;0,864;1,055;0,821;1,284;0,986;1,295;0,946;1,433;1,236;1,665;0,932;1,043;1,655;1,155;0,893;0,921;1,039;1,04;0,898;0,873;1,104;1,255;0,842;1,496;1,485;1,739;1;1,234;1,712;1,026;1,522;0,853;1,197;1,022;0,952;0,971;0,984;0,95;0,966;1,068;1,398;1,492;1,461;1,326;1,513;1,567;0,905;1,448;0,998;1,234;1,28;0,836;1,564;0,83;1,001;1,344;1,031;1,009;0,843;0,951;1,313;1,175;0,967;1,188;1,237;0,999;0,99;0,831;0,975;1,013;1,606;1,212;1,116;0,833;1,059;0,984;1,11;1,492;0,879;1,336;0,83;1,304;1,563;1,133;1,211;0,821;0,859;1,387;1,004;0,844;0,852;1,054;0,998;0,858;0,993;1,011;0,878
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpSessionSessionIdAnalyzer;0,77;0,138;0,138;0,142;0,141;0,14;0,147;0,139;0,401;0,141;0,392;0,414;0,141;0,152;0,139;0,383;0,139;0,589;0,162;0,139;0,139;0,139;0,14;0,253;0,142;0,138;0,139;0,14;0,16;0,139;0,437;0,139;0,14;0,429;0,138;0,139;0,561;0,139;0,14;0,184;0,14;0,142;0,186;0,29;0,154;0,139;0,14;0,14;0,262;0,139;0,142;0,169;0,201;0,14;0,139;0,283;0,138;0,158;0,302;0,14;0,141;0,138;0,14;0,15;0,443;0,139;0,149;0,314;0,256;0,143;0,529;0,17;0,383;0,14;0,282;0,142;0,14;0,335;0,385;0,14;0,139;0,138;0,139;0,139;0,301;0,139;0,55;0,138;0,162;0,138;0,436;0,14;0,383;0,14;0,714;0,365;0,157;0,14;0,15;0,139
BugHunter.Web.Analyzers;0,735;1,093;1,07;0,752;0,817;0,736;0,748;0,765;0,829;0,824;1,451;0,798;0,773;0,942;0,792;0,764;0,748;0,76;0,856;0,832;1,386;0,792;1,017;1,06;0,982;0,728;0,75;1,07;0,758;0,736;0,913;0,737;1,031;0,763;0,956;0,794;0,778;0,762;0,964;0,909;0,799;1,038;0,761;1,046;1,105;0,892;0,95;1,057;0,863;1,244;1,376;0,891;1,053;1,123;0,799;1,056;1,27;1,059;1,161;0,935;1,106;0,929;0,951;0,96;0,738;0,997;0,73;0,734;1,249;0,744;1,099;0,84;0,819;0,921;0,997;1,397;0,817;0,758;1,088;0,923;1,216;0,91;0,777;0,836;1,261;0,784;0,871;0,979;0,981;0,825;0,794;0,761;1,098;1,327;0,977;1,064;0,751;1,047;0,769;0,865
BugHunter.Analyzers.CmsBaseClassesRules.Analyzers.ModuleRegistrationAnalyzer;0,726;0,555;0,592;0,49;0,977;0,768;0,741;0,937;0,731;0,485;0,473;0,982;0,491;0,655;0,52;0,979;0,883;1,266;0,517;1,12;0,662;0,87;0,674;0,965;0,489;0,538;0,645;0,776;0,52;0,476;0,559;0,725;0,512;0,481;0,486;0,86;0,741;0,597;0,501;1,034;0,537;0,613;0,748;0,556;0,539;0,572;0,508;0,559;0,634;0,498;0,536;0,526;0,72;0,73;0,549;0,659;0,771;0,614;0,82;0,48;0,536;0,779;0,936;0,488;0,918;0,712;0,529;0,48;0,522;0,677;0,579;1,11;0,852;0,669;0,78;0,467;0,755;1,078;0,538;0,473;1,566;0,5;0,838;0,473;0,785;0,62;0,543;0,712;0,497;0,508;0,694;1,071;0,534;0,592;0,523;0,76;0,94;0,816;0,788;1,227
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringStartAndEndsWithMethodsAnalyzer;0,487;0,138;0,231;0,138;0,138;0,342;0,138;0,18;0,138;0,139;0,137;0,138;0,138;0,243;0,137;0,138;0,379;0,137;0,138;0,226;0,137;0,138;0,139;0,138;0,138;0,299;0,575;0,137;0,139;0,437;0,137;0,235;0,138;0,138;0,138;0,408;0,62;0,319;0,137;0,139;0,138;0,169;0,138;0,185;0,163;0,138;0,152;0,138;0,137;0,521;0,138;0,494;0,138;0,138;0,137;0,138;0,137;0,138;0,138;0,251;0,293;0,137;0,139;0,138;0,26;0,139;0,138;0,138;0,313;0,138;0,138;0,137;0,426;0,138;0,148;0,461;0,138;0,138;0,162;0,418;0,531;0,138;0,139;0,138;0,169;0,139;0,138;0,413;0,138;0,137;0,142;0,397;0,137;0,139;0,138;0,139;0,198;0,365;0,139;0,27
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestQueryStringAnalyzer;0,448;0,156;0,181;0,157;0,161;0,416;0,158;0,343;0,157;0,158;0,158;0,196;0,203;0,169;0,702;0,398;0,296;0,275;0,158;0,156;0,312;0,156;0,157;0,273;0,252;0,156;0,169;0,532;0,471;0,159;0,187;0,158;0,157;0,157;0,157;0,157;0,446;0,335;0,159;0,155;0,157;0,861;0,531;0,181;0,158;0,158;0,16;0,158;0,159;0,367;0,373;0,157;0,158;0,407;0,28;0,157;0,155;0,165;0,157;0,215;0,157;0,157;0,157;0,314;0,356;0,157;0,16;0,497;0,16;0,203;0,165;0,155;0,622;0,454;0,343;0,215;0,291;0,169;0,329;0,156;0,305;0,155;0,439;0,155;0,16;0,43;0,486;0,327;0,313;0,156;0,309;0,157;0,567;0,278;0,157;0,157;0,326;0,383;0,398;0,296
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestUserHostAddressAnalyzer;0,32;0,142;0,216;0,143;0,268;0,402;0,144;0,416;0,143;0,266;0,579;0,146;0,145;0,143;0,385;0,386;0,144;0,145;0,32;0,143;0,142;0,143;0,144;0,144;0,564;0,142;0,155;0,145;0,145;0,267;0,144;0,474;0,209;0,175;0,143;0,584;0,327;0,143;0,207;0,143;0,143;0,152;0,315;0,148;0,144;0,208;0,515;0,144;0,143;0,144;0,155;0,164;0,208;0,144;0,145;0,145;0,143;0,144;0,422;0,144;0,145;0,144;0,145;0,146;0,167;0,144;0,144;0,217;0,143;0,144;0,436;0,153;0,143;0,144;0,143;0,145;0,144;0,143;0,144;0,144;0,426;0,141;0,346;0,374;0,144;0,153;0,247;0,143;0,429;0,142;0,379;0,268;0,143;0,643;0,144;0,144;0,41;0,144;0,148;0,172
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseCookiesAnalyzer;0,279;0,137;0,138;0,281;0,439;0,29;0,295;0,138;0,14;0,14;0,14;0,288;0,199;0,164;0,138;0,337;0,14;0,14;0,283;0,522;0,529;0,185;0,349;0,139;0,141;0,165;0,138;0,14;0,139;0,138;0,139;0,139;0,42;0,303;0,287;0,282;0,137;0,139;0,14;0,14;0,14;0,21;0,482;0,318;0,14;0,139;0,383;0,14;0,393;0,139;0,294;0,152;0,139;0,255;0,423;0,14;0,138;0,14;0,143;0,358;0,147;0,138;0,14;0,137;0,149;0,185;0,249;0,139;0,138;0,14;0,413;0,139;0,575;0,454;0,139;0,142;0,138;0,431;0,46;0,484;0,304;0,137;0,308;0,4;0,319;0,139;0,14;0,139;0,139;0,137;0,314;0,14;0,139;0,173;0,139;0,142;0,139;0,139;0,161;0,139
