BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.SystemIOAnalyzer;0,411;0,308;0,341;0,481;0,468;0,332;0,269;0,504;0,267;0,313;0,372;0,374;0,435;0,357;0,29;0,354;0,337;0,344;0,473;0,272;0,44;0,336;0,272;0,286;0,393;0,61;0,461;0,507;0,276;0,569;0,308;0,386;0,284;0,784;0,434;0,27;0,274;0,496;0,37;0,37;0,508;0,569;0,576;0,434;0,27;0,577;0,285;0,267;0,45;0,279;0,46;0,681;0,301;0,492;0,494;0,585;0,359;0,332;0,275;0,434;0,606;0,655;0,291;0,434;0,271;0,289;0,271;0,41;0,339;0,268;0,289;0,388;0,274;0,288;0,458;0,723;0,349;0,568;0,314;0,291;0,69;0,398;0,45;0,33;0,572;0,282;0,372;0,329;0,449;0,349;0,435;0,442;0,416;0,271;0,279;0,395;0,387;0,3;0,322;0,272
BugHunter.Analyzers.CmsBaseClassesRules.Analyzers.ModuleRegistrationAnalyzer;0,351;0,413;0,487;0,405;0,408;0,398;0,344;0,575;0,331;0,778;0,471;0,32;0,369;0,359;0,454;0,628;0,73;0,978;0,426;0,998;0,714;0,896;0,652;0,568;1,433;0,609;0,693;0,48;0,538;0,865;0,878;0,834;0,661;0,873;0,745;0,798;1,143;0,999;0,379;0,926;1,152;1,156;0,738;1,375;0,386;1,078;0,731;1,102;0,484;0,701;0,455;0,415;1,037;0,924;0,659;1,337;0,874;0,869;1,028;1,089;1,022;0,684;1,051;1,006;0,993;0,494;0,562;0,907;0,831;0,764;0,955;0,999;0,76;1,134;0,793;0,658;0,912;1,249;0,579;0,895;0,911;0,674;0,957;0,823;0,757;0,68;0,701;1,106;0,631;0,618;1,003;0,768;1,029;0,897;0,381;0,701;0,951;1,074;0,895;0,961
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseRedirectAnalyzer;0,247;0,057;0,054;0,059;0,066;0,223;0,055;0,059;0,058;0,054;0,053;0,054;0,054;0,149;0,054;0,135;0,057;0,112;0,054;0,056;0,057;0,055;0,058;0,177;0,058;0,054;0,059;0,055;0,054;0,056;0,054;0,056;0,055;0,057;0,058;0,059;0,054;0,056;0,061;0,057;0,055;0,056;0,055;0,055;0,056;0,201;0,06;0,055;0,054;0,055;0,059;0,054;0,054;0,057;0,055;0,058;0,055;0,161;0,059;0,055;0,056;0,054;0,054;0,057;0,054;0,056;0,055;0,054;0,057;0,054;0,06;0,059;0,055;0,055;0,055;0,058;0,054;0,113;0,054;0,054;0,061;0,054;0,148;0,054;0,093;0,057;0,059;0,056;0,24;0,056;0,057;0,059;0,054;0,163;0,084;0,152;0,056;0,059;0,06;0,06
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpSessionElementAccessAnalyzer;0,155;0,156;0,156;0,509;0,315;0,159;0,15;0,154;0,154;0,24;0,151;0,152;0,154;0,152;0,158;0,152;0,158;0,153;0,157;0,154;0,258;0,244;0,158;0,253;0,155;0,157;0,25;0,155;0,158;0,152;0,151;0,156;0,154;0,159;0,253;0,241;0,157;0,163;0,161;0,256;0,153;0,155;0,162;0,158;0,173;0,223;0,154;0,153;0,167;0,177;0,154;0,161;0,373;0,153;0,152;0,241;0,154;0,16;0,157;0,154;0,176;0,247;0,154;0,153;0,159;0,183;0,278;0,152;0,152;0,153;0,155;0,163;0,16;0,271;0,253;0,256;0,155;0,155;0,273;0,151;0,157;0,158;0,157;0,16;0,277;0,162;0,161;0,16;0,275;0,22;0,274;0,173;0,162;0,156;0,154;0,188;0,154;0,191;0,236;0,335
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringCompareStaticMethodAnalyzer;0,144;0,074;0,039;0,017;0,017;0,017;0,016;0,016;0,016;0,017;0,016;0,016;0,017;0,016;0,016;0,02;0,015;0,048;0,016;0,016;0,016;0,015;0,025;0,015;0,015;0,018;0,015;0,042;0,015;0,016;0,016;0,015;0,017;0,016;0,016;0,016;0,018;0,015;0,015;0,015;0,022;0,018;0,017;0,021;0,016;0,015;0,015;0,015;0,022;0,016;0,081;0,015;0,017;0,018;0,016;0,016;0,111;0,018;0,015;0,016;0,089;0,016;0,02;0,016;0,124;0,029;0,016;0,017;0,025;0,019;0,213;0,024;0,015;0,041;0,075;0,016;0,016;0,091;0,016;0,017;0,021;0,016;0,07;0,016;0,016;0,045;0,066;0,02;0,016;0,018;0,139;0,015;0,016;0,016;0,016;0,333;0,041;0,135;0,016;0,016
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestUserHostAddressAnalyzer;0,13;0,152;0,111;0,096;0,065;0,163;0,068;0,085;0,069;0,062;0,069;0,063;0,063;0,071;0,062;0,143;0,279;0,07;0,065;0,07;0,063;0,063;0,067;0,064;0,066;0,064;0,068;0,068;0,124;0,069;0,062;0,064;0,186;0,067;0,065;0,063;0,062;0,066;0,064;0,064;0,184;0,062;0,133;0,069;0,062;0,065;0,062;0,064;0,28;0,063;0,062;0,062;0,064;0,064;0,063;0,07;0,062;0,07;0,067;0,062;0,062;0,061;0,062;0,171;0,062;0,066;0,062;0,067;0,063;0,158;0,067;0,067;0,065;0,066;0,064;0,069;0,062;0,137;0,065;0,063;0,068;0,064;0,069;0,179;0,067;0,064;0,065;0,066;0,192;0,141;0,062;0,064;0,264;0,065;0,166;0,067;0,171;0,068;0,068;0,065
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestCookiesAnalyzer;0,125;0,182;0,115;0,217;0,127;0,121;0,212;0,114;0,308;0,112;0,111;0,112;0,115;0,264;0,283;0,114;0,112;0,147;0,112;0,116;0,116;0,113;0,208;0,119;0,168;0,119;0,119;0,211;0,113;0,309;0,218;0,113;0,171;0,12;0,121;0,113;0,112;0,118;0,12;0,113;0,18;0,112;0,179;0,4;0,235;0,114;0,225;0,213;0,12;0,158;0,117;0,112;0,11;0,207;0,22;0,139;0,318;0,116;0,221;0,217;0,131;0,113;0,334;0,11;0,218;0,193;0,112;0,292;0,113;0,115;0,121;0,118;0,26;0,232;0,117;0,119;0,12;0,226;0,308;0,439;0,202;0,114;0,118;0,117;0,136;0,115;0,115;0,124;0,212;0,316;0,112;0,115;0,19;0,116;0,146;0,118;0,117;0,117;0,121;0,12
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseCookiesAnalyzer;0,123;0,11;0,111;0,163;0,115;0,115;0,205;0,275;0,31;0,111;0,186;0,116;0,111;0,207;0,115;0,111;0,184;0,191;0,197;0,19;0,119;0,118;0,209;0,12;0,383;0,119;0,114;0,115;0,188;0,114;0,221;0,111;0,109;0,21;0,123;0,113;0,302;0,113;0,116;0,111;0,112;0,112;0,118;0,115;0,115;0,116;0,119;0,117;0,138;0,128;0,251;0,111;0,112;0,207;0,219;0,116;0,311;0,12;0,113;0,324;0,113;0,113;0,113;0,112;0,108;0,31;0,113;0,114;0,109;0,109;0,119;0,115;0,111;0,114;0,114;0,133;0,214;0,119;0,117;0,219;0,201;0,16;0,118;0,118;0,114;0,214;0,206;0,119;0,111;0,202;0,11;0,111;0,124;0,115;0,14;0,184;0,11;0,117;0,12;0,111
BugHunter.Analyzers.AbstractionOverImplementation.Analyzers.LuceneSearchDocumentAnalyzer;0,121;0,23;0,091;0,541;0,066;0,192;0,221;0,065;0,167;0,18;0,267;0,069;0,111;0,073;0,066;0,066;0,134;0,067;0,082;0,165;0,267;0,141;0,169;0,148;0,066;0,067;0,205;0,067;0,31;0,23;0,066;0,36;0,125;0,14;0,066;0,067;0,066;0,067;0,316;0,404;0,24;0,105;0,284;0,074;0,193;0,065;0,174;0,067;0,354;0,296;0,179;0,067;0,066;0,171;0,35;0,31;0,132;0,24;0,395;0,192;0,207;0,202;0,269;0,065;0,065;0,216;0,162;0,286;0,305;0,305;0,159;0,125;0,165;0,247;0,213;0,161;0,082;0,065;0,299;0,238;0,066;0,071;0,553;0,292;0,065;0,248;0,281;0,312;0,096;0,145;0,065;0,065;0,097;0,228;0,177;0,199;0,223;0,098;0,066;0,129
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestBrowserAnalyzer;0,108;0,105;0,105;0,203;0,174;0,109;0,146;0,106;0,105;0,105;0,105;0,107;0,109;0,29;0,102;0,104;0,19;0,108;0,496;0,179;0,129;0,108;0,106;0,128;0,24;0,171;0,113;0,332;0,257;0,104;0,133;0,104;0,341;0,106;0,196;0,105;0,111;0,218;0,107;0,104;0,218;0,276;0,109;0,105;0,361;0,109;0,104;0,105;0,311;0,253;0,153;0,213;0,114;0,103;0,237;0,106;0,118;0,115;0,19;0,102;0,185;0,2;0,103;0,104;0,183;0,279;0,103;0,105;0,109;0,108;0,119;0,104;0,144;0,109;0,104;0,112;0,111;0,106;0,107;0,104;0,11;0,478;0,103;0,105;0,114;0,118;0,105;0,106;0,107;0,108;0,102;0,538;0,125;0,104;0,121;0,106;0,21;0,106;0,105;0,102
