Total analyzer execution time: 5.713 seconds. (TaskId:71)
  NOTE: Elapsed time may be less than analyzer execution time because analyzers can run concurrently. (TaskId:71)
  Time (s)    %   Analyzer (TaskId:71)
  5.713   99   BugHunter, Version=1.0.6239.34541, Culture=neutral, PublicKeyToken=null (TaskId:71)
  2.603   45      BugHunter.CsRules.Analyzers.SystemIOAnalyzer (TaskId:71)
  0.490    8      BugHunter.CsRules.Analyzers.HttpRequestCookiesAnalyzer (TaskId:71)
  0.417    7      BugHunter.CsRules.Analyzers.HttpResponseCookiesAnalyzer (TaskId:71)
  0.376    6      BugHunter.CsRules.Analyzers.HttpSessionElementAccessAnalyzer (TaskId:71)
  0.265    4      BugHunter.CsRules.Analyzers.HttpRequestBrowserAnalyzer (TaskId:71)
  0.204    3      BugHunter.CsRules.Analyzers.HttpSessionSessionIdAnalyzer (TaskId:71)
  0.197    3      BugHunter.CsRules.Analyzers.HttpRequestQueryStringAnalyzer (TaskId:71)
  0.197    3      BugHunter.CsRules.Analyzers.HttpRequestUrlAnalyzer (TaskId:71)
  0.184    3      BugHunter.CsRules.Analyzers.HttpResponseRedirectAnalyzer (TaskId:71)
  0.182    3      BugHunter.CsRules.Analyzers.HttpRequestUserHostAddressAnalyzer (TaskId:71)
  0.165    2      BugHunter.CsRules.Analyzers.FormsAuthenticationSignOut (TaskId:71)
  0.122    2      BugHunter.CsRules.Analyzers.PageIsCallbackAnalyzer (TaskId:71)
  0.107    1      BugHunter.CsRules.Analyzers.PageIsPostBackAnalyzer (TaskId:71)
  0.085    1      BugHunter.CsRules.Analyzers.ClientScriptMethodsAnalyzer (TaskId:71)
  0.074    1      BugHunter.CsRules.Analyzers.LuceneSearchDocumentAnalyzer (TaskId:71)
  0.014   <1      BugHunter.WpRules.Analyzers.ValidationHelperGetAnalyzer (TaskId:71)
  0.006   <1      BugHunter.StringMethodsRules.Analyzers.StringStartAndEndsWithMethodsAnalyzer (TaskId:71)
  0.004   <1      BugHunter.StringMethodsRules.Analyzers.StringManipulationMethodsAnalyzer (TaskId:71)
  0.004   <1      BugHunter.CsRules.Analyzers.WhereLikeMethodAnalyzer (TaskId:71)
  0.004   <1      BugHunter.CsRules.Analyzers.EventLogArgumentsAnalyzer (TaskId:71)
  0.003   <1      BugHunter.StringMethodsRules.Analyzers.StringEqualsMethodAnalyzer (TaskId:71)
  0.003   <1      BugHunter.StringMethodsRules.Analyzers.StringIndexOfMethodsAnalyzer (TaskId:71)
  0.003   <1      BugHunter.StringMethodsRules.Analyzers.StringCompareStaticMethodAnalyzer (TaskId:71)
  0.003   <1      BugHunter.StringMethodsRules.Analyzers.StringCompareToMethodAnalyzer (TaskId:71)
  Output Item(s): CscCommandLineArgs= (TaskId:71)
Done executing task "Csc". (TaskId:71)
